123 Log Analyzer Report
Domain name:NCSA 2009
Using Filter: 
generated on Mon Jul 13 10:14:11 2009

Time Period:01/Jan/2009:00:01:02 - 13/Jul/2009:14:12:57 total 194 day(s)

General Statistics
Total Hits,5112439
Total Cached Hits,5112439
Average Hits Per Day,26352
Average Hits Per Hour,1100
Average Hits Per Visitor,13.8
Average Data Transferred per Hit,0.0 KB
Total Visitors,371052
Average Visitors Per Day ,1912
Average Time Spent,323 Seconds
Average PageViews per visitor,5.36
Average Downloads per visitor,0.04
Average Data Transferred per Visitor,0.0 KB
Total Uniq IPs,41445
Visitors Who Visit Once,22139
Visitors Who Visit more than Once,19306
Total PageViews,1990090
Average PageViews Per Day,10258
Total File Downloads,14215
Average File Downloads Per Day,73
Total Images,2139782
Average Images Per Day,11029
Total failed requests,265742
Total Incomplete File downloads requests,966
Number of visitors bookmarked your web site,183973
Total Data Transferred,0.00 KB
Average Data Transferred per Day,0.00 KB


Access Report
Daily Report
Date,Hits,Visitors,Uniq IPs,Data Transferred(KB)
Thu Jan 01 2009,3363,461,279,0
Fri Jan 02 2009,5713,611,380,0
Sat Jan 03 2009,4468,529,329,0
Sun Jan 04 2009,4725,607,357,0
Mon Jan 05 2009,11146,848,522,0
Tue Jan 06 2009,7589,711,481,0
Wed Jan 07 2009,8056,691,436,0
Thu Jan 08 2009,7411,799,478,0
Fri Jan 09 2009,9187,669,431,0
Sat Jan 10 2009,4031,590,368,0
Sun Jan 11 2009,4268,560,323,0
Mon Jan 12 2009,7414,719,490,0
Tue Jan 13 2009,5499,529,342,0
Wed Jan 14 2009,6116,652,440,0
Thu Jan 15 2009,6709,593,402,0
Fri Jan 16 2009,5727,544,377,0
Sat Jan 17 2009,4630,499,345,0
Sun Jan 18 2009,3992,518,335,0
Mon Jan 19 2009,8274,659,420,0
Tue Jan 20 2009,12042,908,541,0
Wed Jan 21 2009,11371,753,462,0
Thu Jan 22 2009,13311,945,557,0
Fri Jan 23 2009,15272,1059,613,0
Sat Jan 24 2009,12579,852,507,0
Sun Jan 25 2009,7102,715,450,0
Mon Jan 26 2009,14632,1094,706,0
Tue Jan 27 2009,11604,897,579,0
Wed Jan 28 2009,10498,854,585,0
Thu Jan 29 2009,8837,845,548,0
Fri Jan 30 2009,6859,808,511,0
Sat Jan 31 2009,5359,581,383,0
Sun Feb 01 2009,9461,886,472,0
Mon Feb 02 2009,22220,1630,759,0
Tue Feb 03 2009,27818,1624,926,0
Wed Feb 04 2009,17817,1244,809,0
Thu Feb 05 2009,11927,1027,662,0
Fri Feb 06 2009,12937,946,630,0
Sat Feb 07 2009,7778,709,443,0
Sun Feb 08 2009,8090,727,459,0
Mon Feb 09 2009,16871,1170,789,0
Tue Feb 10 2009,14147,1159,711,0
Wed Feb 11 2009,13818,1068,664,0
Thu Feb 12 2009,12444,950,621,0
Fri Feb 13 2009,10235,861,568,0
Sat Feb 14 2009,7679,766,463,0
Sun Feb 15 2009,6803,640,422,0
Mon Feb 16 2009,8969,790,506,0
Tue Feb 17 2009,11736,966,652,0
Wed Feb 18 2009,9021,859,546,0
Thu Feb 19 2009,9027,887,583,0
Fri Feb 20 2009,10282,844,564,0
Sat Feb 21 2009,7309,695,462,0
Sun Feb 22 2009,8979,938,567,0
Mon Feb 23 2009,13588,1075,698,0
Tue Feb 24 2009,12302,1007,676,0
Wed Feb 25 2009,14672,1161,762,0
Thu Feb 26 2009,13204,1065,715,0
Fri Feb 27 2009,11970,996,653,0
Sat Feb 28 2009,11279,968,608,0
Sun Mar 01 2009,12447,1024,647,0
Mon Mar 02 2009,18497,1487,957,0
Tue Mar 03 2009,16768,1408,891,0
Wed Mar 04 2009,17837,1437,933,0
Thu Mar 05 2009,16047,1312,823,0
Fri Mar 06 2009,19237,1370,839,0
Sat Mar 07 2009,14775,1220,714,0
Sun Mar 08 2009,14640,1159,762,0
Mon Mar 09 2009,22481,1653,1048,0
Tue Mar 10 2009,21009,1489,992,0
Wed Mar 11 2009,18785,1663,1031,0
Thu Mar 12 2009,41153,2273,1418,0
Fri Mar 13 2009,38635,2471,1607,0
Sat Mar 14 2009,21291,1648,1066,0
Sun Mar 15 2009,20743,1624,1079,0
Mon Mar 16 2009,36877,2513,1701,0
Tue Mar 17 2009,30009,2131,1423,0
Wed Mar 18 2009,27964,1978,1314,0
Thu Mar 19 2009,26115,1834,1222,0
Fri Mar 20 2009,25381,1840,1213,0
Sat Mar 21 2009,16375,1344,922,0
Sun Mar 22 2009,22254,1771,1185,0
Mon Mar 23 2009,44127,2814,1899,0
Tue Mar 24 2009,39441,2665,1724,0
Wed Mar 25 2009,37819,2676,1690,0
Thu Mar 26 2009,45337,2832,1692,0
Fri Mar 27 2009,36235,2463,1624,0
Sat Mar 28 2009,34772,2464,1608,0
Sun Mar 29 2009,87530,5340,3049,0
Mon Mar 30 2009,64876,4013,2299,0
Tue Mar 31 2009,40288,2664,1688,0
Wed Apr 01 2009,38098,2620,1689,0
Thu Apr 02 2009,39457,2564,1619,0
Fri Apr 03 2009,36816,2513,1638,0
Sat Apr 04 2009,35716,2482,1614,0
Sun Apr 05 2009,60685,4318,2635,0
Mon Apr 06 2009,66729,4122,2394,0
Tue Apr 07 2009,37542,2647,1647,0
Wed Apr 08 2009,32194,2273,1405,0
Thu Apr 09 2009,26234,1914,1229,0
Fri Apr 10 2009,20791,1588,1002,0
Sat Apr 11 2009,17078,1447,918,0
Sun Apr 12 2009,12166,1067,716,0
Mon Apr 13 2009,32757,2354,1468,0
Tue Apr 14 2009,35227,2411,1511,0
Wed Apr 15 2009,31790,2342,1473,0
Thu Apr 16 2009,31803,2254,1445,0
Fri Apr 17 2009,30550,2096,1480,0
Sat Apr 18 2009,29860,2255,1579,0
Sun Apr 19 2009,66793,4563,2935,0
Mon Apr 20 2009,76780,4697,2581,0
Tue Apr 21 2009,44251,3014,1974,0
Wed Apr 22 2009,37888,2742,1742,0
Thu Apr 23 2009,32818,2383,1562,0
Fri Apr 24 2009,33572,2498,1647,0
Sat Apr 25 2009,28386,2199,1500,0
Sun Apr 26 2009,56669,4049,2582,0
Mon Apr 27 2009,62156,3952,2335,0
Tue Apr 28 2009,40871,2750,1753,0
Wed Apr 29 2009,38714,2650,1703,0
Thu Apr 30 2009,30431,2342,1547,0
Fri May 01 2009,35519,2581,1711,0
Sat May 02 2009,33628,2619,1724,0
Sun May 03 2009,89976,5881,3385,0
Mon May 04 2009,75277,4665,2699,0
Tue May 05 2009,43593,3000,1934,0
Wed May 06 2009,35357,2649,1674,0
Thu May 07 2009,39301,2913,1843,0
Fri May 08 2009,35385,2615,1749,0
Sat May 09 2009,39010,2797,1789,0
Sun May 10 2009,67408,4799,3059,0
Mon May 11 2009,75575,4707,2707,0
Tue May 12 2009,47720,3329,2108,0
Wed May 13 2009,42346,2906,1836,0
Thu May 14 2009,37323,2713,1783,0
Fri May 15 2009,37631,2711,1763,0
Sat May 16 2009,37715,2830,1846,0
Sun May 17 2009,81476,5485,3314,0
Mon May 18 2009,68968,4495,2665,0
Tue May 19 2009,36798,2660,1771,0
Wed May 20 2009,28005,2285,1491,0
Thu May 21 2009,24207,1984,1335,0
Fri May 22 2009,18747,1558,1082,0
Sat May 23 2009,9814,935,665,0
Sun May 24 2009,9865,967,678,0
Mon May 25 2009,14432,1289,874,0
Tue May 26 2009,39249,2771,1804,0
Wed May 27 2009,35017,2569,1639,0
Thu May 28 2009,42001,2765,1767,0
Fri May 29 2009,47128,2847,1809,0
Sat May 30 2009,34592,2705,1822,0
Sun May 31 2009,70443,4872,3115,0
Mon Jun 01 2009,76897,4890,2738,0
Tue Jun 02 2009,44478,3314,2017,0
Wed Jun 03 2009,46456,3288,1949,0
Thu Jun 04 2009,36732,2748,1733,0
Fri Jun 05 2009,43308,3055,1868,0
Sat Jun 06 2009,33767,2576,1699,0
Sun Jun 07 2009,69481,4973,3226,0
Mon Jun 08 2009,72820,4649,2737,0
Tue Jun 09 2009,49432,3294,2049,0
Wed Jun 10 2009,35207,2561,1626,0
Thu Jun 11 2009,38395,2722,1692,0
Fri Jun 12 2009,33111,2447,1549,0
Sat Jun 13 2009,31804,2402,1551,0
Sun Jun 14 2009,63080,4487,2756,0
Mon Jun 15 2009,64905,4234,2368,0
Tue Jun 16 2009,35456,2630,1648,0
Wed Jun 17 2009,26621,2160,1323,0
Thu Jun 18 2009,25539,2063,1296,0
Fri Jun 19 2009,18762,1510,1009,0
Sat Jun 20 2009,12873,1185,796,0
Sun Jun 21 2009,14329,1276,822,0
Mon Jun 22 2009,21218,1754,1156,0
Tue Jun 23 2009,19133,1502,973,0
Wed Jun 24 2009,17234,1367,900,0
Thu Jun 25 2009,14721,1214,808,0
Fri Jun 26 2009,18564,1269,808,0
Sat Jun 27 2009,7580,734,472,0
Sun Jun 28 2009,5721,651,450,0
Mon Jun 29 2009,11946,1073,702,0
Tue Jun 30 2009,12194,952,630,0
Wed Jul 01 2009,9347,841,579,0
Thu Jul 02 2009,8575,875,590,0
Fri Jul 03 2009,6545,667,469,0
Sat Jul 04 2009,3234,407,286,0
Sun Jul 05 2009,3832,492,328,0
Mon Jul 06 2009,9757,793,510,0
Tue Jul 07 2009,9380,846,552,0
Wed Jul 08 2009,9187,839,540,0
Thu Jul 09 2009,9025,768,519,0
Fri Jul 10 2009,9127,782,500,0
Sat Jul 11 2009,4901,520,336,0
Sun Jul 12 2009,4785,504,316,0
Mon Jul 13 2009,4740,392,311,0
Weekly Report
Day of week,Hits, Visitors,Uniq IPs,Data Transferred(KB)
 Sunday,887743,64893,15790,0
Monday,1024929,68531,14571,0
Tuesday,745576,53278,12988,0
Wednesday,657235,49128,12350,0
Thursday,651447,48045,12242,0
Friday,633226,46219,12366,0
Saturday,512283,40958,11914,0
Hourly Report
Hour of day,Hits,Visitors,Uniq IPs,Data Transferred(KB)00:00-00:59,324278,22069,7779,0
01:00-01:59,323252,21831,7704,0
02:00-02:59,276468,19441,6901,0
