123 Log Analyzer Report
Domain name:www.ncsanj.com
Using Filter: 
generated on Thu Jan 06 10:39:44 2011

Time Period:01/Jan/2010:00:00:28 - 31/Dec/2010:23:58:58 total 365 day(s)

General Statistics
Total Hits,10345735
Total Cached Hits,10345735
Average Hits Per Day,28344
Average Hits Per Hour,1181
Average Hits Per Visitor,9448.2
Average Data Transferred per Hit,0.0 KB
Total Visitors,1095
Average Visitors Per Day ,3
Average Time Spent,27518 Seconds
Average PageViews per visitor,3506.31
Average Downloads per visitor,20.93
Average Data Transferred per Visitor,0.0 KB
Total Uniq IPs,1
Visitors Who Visit Once,1
Visitors Who Visit more than Once,0
Total PageViews,3839404
Average PageViews Per Day,10518
Total File Downloads,22921
Average File Downloads Per Day,62
Total Images,4310378
Average Images Per Day,11809
Total failed requests,608882
Total Incomplete File downloads requests,545
Number of visitors bookmarked your web site,564181
Total Data Transferred,0.00 KB
Average Data Transferred per Day,0.00 KB


Access Report
Daily Report
Date,Hits,Visitors,Uniq IPs,Data Transferred(KB)
Fri Jan 01 2010,2732,3,1,0
Sat Jan 02 2010,4389,3,1,0
Sun Jan 03 2010,4389,3,1,0
Mon Jan 04 2010,6723,3,1,0
Tue Jan 05 2010,8503,3,1,0
Wed Jan 06 2010,6241,3,1,0
Thu Jan 07 2010,7029,3,1,0
Fri Jan 08 2010,5554,3,1,0
Sat Jan 09 2010,5230,3,1,0
Sun Jan 10 2010,5526,3,1,0
Mon Jan 11 2010,8189,3,1,0
Tue Jan 12 2010,6762,3,1,0
Wed Jan 13 2010,5803,3,1,0
Thu Jan 14 2010,7085,3,1,0
Fri Jan 15 2010,5535,3,1,0
Sat Jan 16 2010,3618,3,1,0
Sun Jan 17 2010,4249,3,1,0
Mon Jan 18 2010,7501,3,1,0
Tue Jan 19 2010,6428,3,1,0
Wed Jan 20 2010,6464,3,1,0
Thu Jan 21 2010,6642,3,1,0
Fri Jan 22 2010,5811,3,1,0
Sat Jan 23 2010,5035,3,1,0
Sun Jan 24 2010,3667,3,1,0
Mon Jan 25 2010,7147,3,1,0
Tue Jan 26 2010,7139,3,1,0
Wed Jan 27 2010,7159,3,1,0
Thu Jan 28 2010,7142,3,1,0
Fri Jan 29 2010,7414,3,1,0
Sat Jan 30 2010,5861,3,1,0
Sun Jan 31 2010,6404,3,1,0
Mon Feb 01 2010,12220,3,1,0
Tue Feb 02 2010,11538,3,1,0
Wed Feb 03 2010,8586,3,1,0
Thu Feb 04 2010,8173,3,1,0
Fri Feb 05 2010,6411,3,1,0
Sat Feb 06 2010,5112,3,1,0
Sun Feb 07 2010,6160,3,1,0
Mon Feb 08 2010,12458,3,1,0
Tue Feb 09 2010,23744,3,1,0
Wed Feb 10 2010,13200,3,1,0
Thu Feb 11 2010,13894,3,1,0
Fri Feb 12 2010,11132,3,1,0
Sat Feb 13 2010,8263,3,1,0
Sun Feb 14 2010,7626,3,1,0
Mon Feb 15 2010,11813,3,1,0
Tue Feb 16 2010,14200,3,1,0
Wed Feb 17 2010,9355,3,1,0
Thu Feb 18 2010,10678,3,1,0
Fri Feb 19 2010,10011,3,1,0
Sat Feb 20 2010,7502,3,1,0
Sun Feb 21 2010,8130,3,1,0
Mon Feb 22 2010,13164,3,1,0
Tue Feb 23 2010,11494,3,1,0
Wed Feb 24 2010,12550,3,1,0
Thu Feb 25 2010,10743,3,1,0
Fri Feb 26 2010,5980,3,1,0
Sat Feb 27 2010,7329,3,1,0
Sun Feb 28 2010,7887,3,1,0
Mon Mar 01 2010,12980,3,1,0
Tue Mar 02 2010,13371,3,1,0
Wed Mar 03 2010,11607,3,1,0
Thu Mar 04 2010,13537,3,1,0
Fri Mar 05 2010,13766,3,1,0
Sat Mar 06 2010,10235,3,1,0
Sun Mar 07 2010,11579,3,1,0
Mon Mar 08 2010,19187,3,1,0
Tue Mar 09 2010,17568,3,1,0
Wed Mar 10 2010,17116,3,1,0
Thu Mar 11 2010,17807,3,1,0
Fri Mar 12 2010,14936,3,1,0
Sat Mar 13 2010,11252,3,1,0
Sun Mar 14 2010,9123,3,1,0
Mon Mar 15 2010,19908,3,1,0
Tue Mar 16 2010,27609,3,1,0
Wed Mar 17 2010,41483,3,1,0
Thu Mar 18 2010,67243,3,1,0
Fri Mar 19 2010,54045,3,1,0
Sat Mar 20 2010,23221,3,1,0
Sun Mar 21 2010,28337,3,1,0
Mon Mar 22 2010,61893,3,1,0
Tue Mar 23 2010,50079,3,1,0
Wed Mar 24 2010,47060,3,1,0
Thu Mar 25 2010,43962,3,1,0
Fri Mar 26 2010,38841,3,1,0
Sat Mar 27 2010,34877,3,1,0
Sun Mar 28 2010,60958,3,1,0
Mon Mar 29 2010,67711,3,1,0
Tue Mar 30 2010,43792,3,1,0
Wed Mar 31 2010,35498,3,1,0
Thu Apr 01 2010,25672,3,1,0
Fri Apr 02 2010,20816,3,1,0
Sat Apr 03 2010,12898,3,1,0
Sun Apr 04 2010,14419,3,1,0
Mon Apr 05 2010,32969,3,1,0
Tue Apr 06 2010,37660,3,1,0
Wed Apr 07 2010,36030,3,1,0
Thu Apr 08 2010,37668,3,1,0
Fri Apr 09 2010,35592,3,1,0
Sat Apr 10 2010,30444,3,1,0
