GameID,Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
8157,3732,G11A,04/04/2009,10:00 AM,NY-CLARK-RckldCDay,331,RamapoValley-G11A-Zendell,725,Clarkstown-G11A-Charles
8546,4121,G13A,04/04/2009,02:00 PM,NY-CLARK-RckldCDay,247,Spartan-G13A-Salinardi,729,Clarkstown-G13A-Rolston
10760,2345,B13A,04/05/2009,02:00 PM,NY-CLARK-KennedyPk1,802,RYSA-B13A-Barron,745,Clarkstown-B13A-Charles
10599,2182,B12CB,04/05/2009,10:00 AM,NY-CLARK-KennedyPk2,318,RamapoValley-B12CB-Russell,819,Clarkstown-B12CB-Green
8235,3810,G11C,04/05/2009,12:00 PM,NY-CLARK-KennedyPk2,287,Aviators-G11C-Wyrostek,726,Clarkstown-G11C-Looney
8367,3942,G12B,04/05/2009,04:00 PM,NY-CLARK-KennedyPk2,224,Hotspur-G12B-Dugan,728,Clarkstown-G12B-Eichele
7933,3508,G10B,04/05/2009,11:00 AM,NY-CLARK-OutdoorEdu,351,Ajax-G10B-Gleba,722,Clarkstown-G10B-Bogart
9693,1269,B09A,04/05/2009,12:30 PM,NY-CLARK-OutdoorEdu,352,SCVistula-B09A-Kozdron,713,Clarkstown-B09A-Rolston
8333,3908,G12A,04/05/2009,03:00 PM,NY-CLARK-RckldCDay,190,Dragons-G12A-Bade,727,Clarkstown-G12A-Dempsey
8077,3652,G10E,04/18/2009,10:00 AM,NY-CLARK-OutdoorEdu,746,CougarUtd-G10E-Doku,723,Clarkstown-G10E-Johnston
9121,4696,G19D,04/19/2009,12:00 PM,NY-CLARK-KennedyPk1,548,Secaucus-G19D-McStowe,731,Clarkstown-G19D-Mooney
8163,3738,G11A,04/19/2009,10:00 AM,NY-CLARK-KennedyPk2,221,Hotspur-G11A-Gilligan,725,Clarkstown-G11A-Charles
8239,3814,G11C,04/19/2009,12:00 PM,NY-CLARK-KennedyPk2,187,Dragons-G11C-Boes,726,Clarkstown-G11C-Looney
8373,3948,G12B,04/19/2009,02:00 PM,NY-CLARK-KennedyPk2,113,WayneBG-G12B-Ramos,728,Clarkstown-G12B-Eichele
8735,4310,G13DW,04/19/2009,04:00 PM,NY-CLARK-KennedyPk2,492,Stingrays-G13DW-Burke,730,Clarkstown-G13DW-Fitzgerald
10727,2311,B12P,04/19/2009,06:00 PM,NY-CLARK-KennedyPk2,34,Torpedoes-B12P-Baumgarten,717,Clarkstown-B12P-OBrien
10060,1639,B10BW,04/19/2009,10:00 AM,NY-CLARK-OutdoorEdu,671,Maroons-B10BW-Glover,714,Clarkstown-B10BW-Hodge
9974,1552,B10A,04/19/2009,11:30 AM,NY-CLARK-OutdoorEdu,151,NoRockland-B10A-Piscopiello,712,Clarkstown-B10A-OBrien
7828,3403,G09E,04/19/2009,01:00 PM,NY-CLARK-OutdoorEdu,217,Hotspur-G09E-Nowak,721,Clarkstown-G09E-OBrien
8083,3658,G10E,04/19/2009,02:30 PM,NY-CLARK-OutdoorEdu,141,Lyndhurst-G10E-Sanchez,723,Clarkstown-G10E-Johnston
7939,3514,G10B,04/19/2009,04:00 PM,NY-CLARK-OutdoorEdu,612,Arsenal-G10B-Mallias,722,Clarkstown-G10B-Bogart
9970,1548,B10A,04/24/2009,06:00 PM,NY-CLARK-KennedyPk3,590,Arsenal-B10A-Weis,712,Clarkstown-B10A-OBrien
9118,4693,G19D,04/25/2009,04:00 PM,NY-CLARK-KennedyPk1,425,Emerson-G19D-Farrley,731,Clarkstown-G19D-Mooney
10346,1927,B11BW,04/25/2009,09:30 AM,NY-CLARK-KennedyPk2,480,GlenRock-B11BW-Milbrodt,715,Clarkstown-B11BW-Torres
8956,4531,G19A,04/26/2009,12:00 PM,NY-CLARK-KennedyPk1,60,Torpedoes-G19A-Edge,732,Clarkstown-G19A-Hanchar
9129,4704,G19D,04/26/2009,04:00 PM,NY-CLARK-KennedyPk1,574,Dumont-G19D-Sansone,731,Clarkstown-G19D-Mooney
10606,2189,B12CB,04/26/2009,10:00 AM,NY-CLARK-KennedyPk2,158,NoRockland-B12CB-Mingone,819,Clarkstown-B12CB-Green
10524,2107,B12A,04/26/2009,12:00 PM,NY-CLARK-KennedyPk2,181,Sportfriends-B12A-Thomas,716,Clarkstown-B12A-Yassky
8739,4314,G13DW,04/26/2009,04:00 PM,NY-CLARK-KennedyPk2,814,RamapoValley-G13DW-Follini,730,Clarkstown-G13DW-Fitzgerald
10352,1933,B11BW,04/26/2009,06:00 PM,NY-CLARK-KennedyPk2,367,Mahwah-B11BW-Santos,715,Clarkstown-B11BW-Torres
