Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
1000,B08A,9/12/2009,12:00AM,F1,915,Hotspur-Illes,968,FtLee-Guacci
1001,B08A,9/12/2009,12:00AM,F1,1124,Ironbound-Romeu,1342,PDA-Murphy
1002,B08A,9/12/2009,12:00AM,F1,1382,Clarkstown-Stah,1055,Maroons-Henni
1003,B08A,9/19/2009,12:00AM,F1,1124,Ironbound-Romeu,1055,Maroons-Henni
1004,B08A,9/19/2009,12:00AM,F1,1342,PDA-Murphy,968,FtLee-Guacci
1005,B08A,9/19/2009,12:00AM,F1,1382,Clarkstown-Stah,915,Hotspur-Illes
1006,B08A,9/26/2009,12:00AM,F1,915,Hotspur-Illes,1124,Ironbound-Romeu
1007,B08A,9/26/2009,12:00AM,F1,1055,Maroons-Henni,1342,PDA-Murphy
1008,B08A,9/26/2009,12:00AM,F1,1382,Clarkstown-Stah,968,FtLee-Guacci
1009,B08A,10/3/2009,12:00AM,F1,968,FtLee-Guacci,1124,Ironbound-Romeu
1010,B08A,10/3/2009,12:00AM,F1,1055,Maroons-Henni,915,Hotspur-Illes
1011,B08A,10/3/2009,12:00AM,F1,1342,PDA-Murphy,1382,Clarkstown-Stah
1012,B08A,10/17/2009,12:00AM,F1,968,FtLee-Guacci,1055,Maroons-Henni
1013,B08A,10/17/2009,12:00AM,F1,1124,Ironbound-Romeu,1382,Clarkstown-Stah
1014,B08A,10/17/2009,12:00AM,F1,1342,PDA-Murphy,915,Hotspur-Illes
1015,B08A,10/24/2009,12:00AM,F1,968,FtLee-Guacci,915,Hotspur-Illes
1016,B08A,10/24/2009,12:00AM,F1,1055,Maroons-Henni,1382,Clarkstown-Stah
1017,B08A,10/24/2009,12:00AM,F1,1342,PDA-Murphy,1124,Ironbound-Romeu
1018,B08A,10/31/2009,12:00AM,F1,915,Hotspur-Illes,1382,Clarkstown-Stah
1019,B08A,10/31/2009,12:00AM,F1,968,FtLee-Guacci,1342,PDA-Murphy
1020,B08A,10/31/2009,12:00AM,F1,1055,Maroons-Henni,1124,Ironbound-Romeu
1021,B08A,11/7/2009,12:00AM,F1,968,FtLee-Guacci,1382,Clarkstown-Stah
1022,B08A,11/7/2009,12:00AM,F1,1124,Ironbound-Romeu,915,Hotspur-Illes
1023,B08A,11/7/2009,12:00AM,F1,1342,PDA-Murphy,1055,Maroons-Henni
1024,B08A,11/14/2009,12:00AM,F1,915,Hotspur-Illes,1055,Maroons-Henni
1025,B08A,11/14/2009,12:00AM,F1,1124,Ironbound-Romeu,968,FtLee-Guacci
1026,B08A,11/14/2009,12:00AM,F1,1382,Clarkstown-Stah,1342,PDA-Murphy
1027,B08A,11/21/2009,12:00AM,F1,915,Hotspur-Illes,1342,PDA-Murphy
1028,B08A,11/21/2009,12:00AM,F1,1055,Maroons-Henni,968,FtLee-Guacci
1029,B08A,11/21/2009,12:00AM,F1,1382,Clarkstown-Stah,1124,Ironbound-Romeu
1030,B08BB,9/12/2009,12:00AM,F1,922,GlenRock-Daly,1204,WayneSC-Kovacs
1031,B08BB,9/12/2009,12:00AM,F1,923,GlenRock-Gonzal,921,GlenRock-Childs
1032,B08BB,9/12/2009,12:00AM,F1,1043,Torpedoes-Dezie,1023,Torpedoes-Tsapa
1033,B08BB,9/19/2009,12:00AM,F1,921,GlenRock-Childs,1023,Torpedoes-Tsapa
1034,B08BB,9/19/2009,12:00AM,F1,922,GlenRock-Daly,1043,Torpedoes-Dezie
1035,B08BB,9/19/2009,12:00AM,F1,923,GlenRock-Gonzal,1204,WayneSC-Kovacs
1036,B08BB,9/26/2009,12:00AM,F1,922,GlenRock-Daly,1023,Torpedoes-Tsapa
1037,B08BB,9/26/2009,12:00AM,F1,1043,Torpedoes-Dezie,923,GlenRock-Gonzal
1038,B08BB,9/26/2009,12:00AM,F1,1204,WayneSC-Kovacs,921,GlenRock-Childs
1039,B08BB,10/3/2009,12:00AM,F1,921,GlenRock-Childs,922,GlenRock-Daly
1040,B08BB,10/3/2009,12:00AM,F1,1023,Torpedoes-Tsapa,923,GlenRock-Gonzal
1041,B08BB,10/3/2009,12:00AM,F1,1204,WayneSC-Kovacs,1043,Torpedoes-Dezie
1042,B08BB,10/17/2009,12:00AM,F1,921,GlenRock-Childs,1043,Torpedoes-Dezie
1043,B08BB,10/17/2009,12:00AM,F1,923,GlenRock-Gonzal,922,GlenRock-Daly
1044,B08BB,10/17/2009,12:00AM,F1,1023,Torpedoes-Tsapa,1204,WayneSC-Kovacs
1045,B08BB,10/24/2009,12:00AM,F1,921,GlenRock-Childs,923,GlenRock-Gonzal
1046,B08BB,10/24/2009,12:00AM,F1,1023,Torpedoes-Tsapa,1043,Torpedoes-Dezie
1047,B08BB,10/24/2009,12:00AM,F1,1204,WayneSC-Kovacs,922,GlenRock-Daly
1048,B08BB,10/31/2009,12:00AM,F1,1023,Torpedoes-Tsapa,921,GlenRock-Childs
1049,B08BB,10/31/2009,12:00AM,F1,1043,Torpedoes-Dezie,922,GlenRock-Daly
1050,B08BB,10/31/2009,12:00AM,F1,1204,WayneSC-Kovacs,923,GlenRock-Gonzal
1051,B08BB,11/7/2009,12:00AM,F1,921,GlenRock-Childs,1204,WayneSC-Kovacs
1052,B08BB,11/7/2009,12:00AM,F1,923,GlenRock-Gonzal,1043,Torpedoes-Dezie
1053,B08BB,11/7/2009,12:00AM,F1,1023,Torpedoes-Tsapa,922,GlenRock-Daly
1054,B08BB,11/14/2009,12:00AM,F1,922,GlenRock-Daly,921,GlenRock-Childs
1055,B08BB,11/14/2009,12:00AM,F1,923,GlenRock-Gonzal,1023,Torpedoes-Tsapa
1056,B08BB,11/14/2009,12:00AM,F1,1043,Torpedoes-Dezie,1204,WayneSC-Kovacs
1057,B08BB,11/21/2009,12:00AM,F1,922,GlenRock-Daly,923,GlenRock-Gonzal
1058,B08BB,11/21/2009,12:00AM,F1,1043,Torpedoes-Dezie,921,GlenRock-Childs
1059,B08BB,11/21/2009,12:00AM,F1,1204,WayneSC-Kovacs,1023,Torpedoes-Tsapa
