Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
1000,B08A,9/12/2009,11:00 AM,FTLEE-VanFleetSM,915,Hotspur-B08A-Illes,968,FtLee-B08A-Guacci
1002,B08A,9/12/2009,3:00 PM,MAR-OrchardSchool,1382,Clarkstown-B08A-Stahl,1055,Maroons-B08A-Henni
1001,B08A,9/12/2009,12:00 AM,TBS(H),1342,PDA-B08A-Murphy,1124,Ironbound-B08A-RomeuNeves
1004,B08A,9/19/2009,10:30 AM,FTLEE-VanFleetSM,1342,PDA-B08A-Murphy,968,FtLee-B08A-Guacci
1005,B08A,9/19/2009,1:00 PM,HOT-NoCentral,1382,Clarkstown-B08A-Stahl,915,Hotspur-B08A-Illes
1003,B08A,9/19/2009,12:00 PM,MAR-OrchardSchool,1124,Ironbound-B08A-RomeuNeves,1055,Maroons-B08A-Henni
1008,B08A,9/26/2009,9:00 AM,FTLEE-VanFleetSM,1382,Clarkstown-B08A-Stahl,968,FtLee-B08A-Guacci
1006,B08A,9/26/2009,4:00 PM,NWK-IndependencePark,915,Hotspur-B08A-Illes,1124,Ironbound-B08A-RomeuNeves
1007,B08A,9/26/2009,2:00 PM,PDA-PDA-Sm,1055,Maroons-B08A-Henni,1342,PDA-B08A-Murphy
1010,B08A,10/3/2009,1:45 PM,HOT-Finch,1055,Maroons-B08A-Henni,915,Hotspur-B08A-Illes
1009,B08A,10/3/2009,4:00 PM,NWK-IndependencePark,968,FtLee-B08A-Guacci,1124,Ironbound-B08A-RomeuNeves
1011,B08A,10/3/2009,1:00 PM,NY-CLARK-KennedyPk3,1342,PDA-B08A-Murphy,1382,Clarkstown-B08A-Stahl
1014,B08A,10/17/2009,3:00 PM,HOT-NoCentral,1342,PDA-B08A-Murphy,915,Hotspur-B08A-Illes
1012,B08A,10/17/2009,12:00 PM,MAR-HabernickelPk,968,FtLee-B08A-Guacci,1055,Maroons-B08A-Henni
1013,B08A,10/17/2009,10:00 AM,NY-CLARK-KennedyPk3,1124,Ironbound-B08A-RomeuNeves,1382,Clarkstown-B08A-Stahl
1015,B08A,10/24/2009,1:00 PM,HOT-NoCentral,968,FtLee-B08A-Guacci,915,Hotspur-B08A-Illes
1016,B08A,10/24/2009,10:00 AM,NY-CLARK-KennedyPk3,1055,Maroons-B08A-Henni,1382,Clarkstown-B08A-Stahl
1017,B08A,10/24/2009,4:00 PM,PDA-PDA-Sm,1124,Ironbound-B08A-RomeuNeves,1342,PDA-B08A-Murphy
1020,B08A,10/31/2009,4:30 PM,NWK-IndependencePark,1055,Maroons-B08A-Henni,1124,Ironbound-B08A-RomeuNeves
1018,B08A,10/31/2009,2:00 PM,NY-CLARK-KennedyPk3,915,Hotspur-B08A-Illes,1382,Clarkstown-B08A-Stahl
1019,B08A,10/31/2009,10:00 AM,PDA-PDA-Sm,968,FtLee-B08A-Guacci,1342,PDA-B08A-Murphy
1022,B08A,11/7/2009,1:00 PM,HOT-Finch,1124,Ironbound-B08A-RomeuNeves,915,Hotspur-B08A-Illes
1021,B08A,11/7/2009,10:00 AM,NY-CLARK-KennedyPk3,968,FtLee-B08A-Guacci,1382,Clarkstown-B08A-Stahl
1023,B08A,11/7/2009,12:00 AM,TBS(H),1342,PDA-B08A-Murphy,1055,Maroons-B08A-Henni
1025,B08A,11/14/2009,11:15 AM,FTLEE-VanFleetSM,1124,Ironbound-B08A-RomeuNeves,968,FtLee-B08A-Guacci
1024,B08A,11/14/2009,3:00 PM,MAR-BenFranklinMS2,915,Hotspur-B08A-Illes,1055,Maroons-B08A-Henni
1026,B08A,11/14/2009,3:00 PM,PDA-PDA-Sm,1382,Clarkstown-B08A-Stahl,1342,PDA-B08A-Murphy
1028,B08A,11/21/2009,12:00 PM,FTLEE-VanFleetSM,1055,Maroons-B08A-Henni,968,FtLee-B08A-Guacci
1029,B08A,11/21/2009,3:00 PM,NWK-IndependencePark,1382,Clarkstown-B08A-Stahl,1124,Ironbound-B08A-RomeuNeves
1027,B08A,11/21/2009,12:30 PM,PDA-PDA-Sm,915,Hotspur-B08A-Illes,1342,PDA-B08A-Murphy
1031,B08BB,9/12/2009,1:30 PM,SS-LowerFaber2,923,GlenRock-B08BB-Gonzalez,921,GlenRock-B08BB-Childs
1032,B08BB,9/12/2009,9:00 AM,TORP-Pulis1,1043,Torpedoes-B08BB-Deziel,1023,Torpedoes-B08BB-Tsapatsaris
1030,B08BB,9/12/2009,9:00 AM,WYNE-WHHS-Aux 1,922,GlenRock-B08BB-Daly,1204,WayneSC-B08BB-Kovacs
1033,B08BB,9/19/2009,9:00 AM,TORP-Pulis2,921,GlenRock-B08BB-Childs,1023,Torpedoes-B08BB-Tsapatsaris
1034,B08BB,9/19/2009,10:30 AM,TORP-Pulis2,922,GlenRock-B08BB-Daly,1043,Torpedoes-B08BB-Deziel
1035,B08BB,9/19/2009,11:30 AM,WYNE-WHHS-Aux 1,923,GlenRock-B08BB-Gonzalez,1204,WayneSC-B08BB-Kovacs
1037,B08BB,9/26/2009,3:00 PM,SS-HamiltonA,1043,Torpedoes-B08BB-Deziel,923,GlenRock-B08BB-Gonzalez
1038,B08BB,9/26/2009,4:30 PM,SS-HamiltonA,1204,WayneSC-B08BB-Kovacs,921,GlenRock-B08BB-Childs
1036,B08BB,9/26/2009,12:00 PM,TORP-Pulis2,922,GlenRock-B08BB-Daly,1023,Torpedoes-B08BB-Tsapatsaris
1040,B08BB,10/3/2009,3:00 PM,SS-HamiltonA,1023,Torpedoes-B08BB-Tsapatsaris,923,GlenRock-B08BB-Gonzalez
1039,B08BB,10/3/2009,1:30 PM,SS-LowerFaber2,921,GlenRock-B08BB-Childs,922,GlenRock-B08BB-Daly
1041,B08BB,10/3/2009,3:00 PM,TORP-Pulis1,1204,WayneSC-B08BB-Kovacs,1043,Torpedoes-B08BB-Deziel
1043,B08BB,10/17/2009,1:30 PM,SS-LowerFaber2,923,GlenRock-B08BB-Gonzalez,922,GlenRock-B08BB-Daly
1042,B08BB,10/17/2009,12:00 PM,TORP-Pulis1,921,GlenRock-B08BB-Childs,1043,Torpedoes-B08BB-Deziel
