Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
1001,B08A,9/11/2010,12:00 AM,F1,2740,Ft.Lee-Payan,2702,Clark-Kcira
1002,B08A,9/11/2010,12:00 AM,F1,3144,Hob-Pellegrini,2752,Iron-RNeves
1003,B08A,9/11/2010,12:00 AM,F1,2760,WClass-daSilva,2849,Mar-LaFrance
1004,B08A,9/18/2010,12:00 AM,F1,2752,Iron-RNeves,2702,Clark-Kcira
1005,B08A,9/18/2010,12:00 AM,TBS(H),2760,WClass-daSilva,2740,Ft.Lee-Payan
1006,B08A,9/18/2010,12:00 AM,F1,3144,Hob-Pellegrini,2849,Mar-LaFrance
1007,B08A,9/25/2010,12:00 AM,F1,2760,WClass-daSilva,2702,Clark-Kcira
1008,B08A,9/25/2010,12:00 AM,F1,2849,Mar-LaFrance,2752,Iron-RNeves
1009,B08A,9/25/2010,12:00 AM,F1,2740,Ft.Lee-Payan,3144,Hob-Pellegrini
1010,B08A,10/2/2010,12:00 AM,F1,2849,Mar-LaFrance,2740,Ft.Lee-Payan
1011,B08A,10/2/2010,12:00 AM,F1,2752,Iron-RNeves,2760,WClass-daSilva
1012,B08A,10/2/2010,12:00 AM,F1,2702,Clark-Kcira,3144,Hob-Pellegrini
1013,B08A,10/16/2010,12:00 AM,F1,2752,Iron-RNeves,2740,Ft.Lee-Payan
1014,B08A,10/16/2010,12:00 AM,F1,3144,Hob-Pellegrini,2760,WClass-daSilva
1015,B08A,10/16/2010,12:00 AM,F1,2702,Clark-Kcira,2849,Mar-LaFrance
1016,B08A,10/23/2010,12:00 AM,F1,2702,Clark-Kcira,2740,Ft.Lee-Payan
1017,B08A,10/23/2010,12:00 AM,F1,2849,Mar-LaFrance,2760,WClass-daSilva
1018,B08A,10/23/2010,12:00 AM,F1,2752,Iron-RNeves,3144,Hob-Pellegrini
1019,B08A,10/30/2010,12:00 AM,F1,2702,Clark-Kcira,2752,Iron-RNeves
1020,B08A,10/30/2010,12:00 AM,F1,2740,Ft.Lee-Payan,2760,WClass-daSilva
1021,B08A,10/30/2010,12:00 AM,F1,2849,Mar-LaFrance,3144,Hob-Pellegrini
1022,B08A,11/6/2010,12:00 AM,F1,3144,Hob-Pellegrini,2740,Ft.Lee-Payan
1023,B08A,11/6/2010,12:00 AM,F1,2702,Clark-Kcira,2760,WClass-daSilva
1024,B08A,11/6/2010,12:00 AM,F1,2752,Iron-RNeves,2849,Mar-LaFrance
1025,B08A,11/13/2010,12:00 AM,F1,3144,Hob-Pellegrini,2702,Clark-Kcira
1026,B08A,11/13/2010,12:00 AM,F1,2760,WClass-daSilva,2752,Iron-RNeves
1027,B08A,11/13/2010,12:00 AM,F1,2740,Ft.Lee-Payan,2849,Mar-LaFrance
1028,B08A,11/20/2010,12:00 AM,F1,2849,Mar-LaFrance,2702,Clark-Kcira
1029,B08A,11/20/2010,12:00 AM,F1,2740,Ft.Lee-Payan,2752,Iron-RNeves
1030,B08A,11/20/2010,12:00 AM,F1,2760,WClass-daSilva,3144,Hob-Pellegrini
1031,B08B,9/11/2010,12:00 AM,F1,2644,Ars-Magnusson,2578,Torp-Nunnery
1032,B08B,9/11/2010,12:00 AM,F1,2643,Ars-Barros,2753,Iron-Diaz
1033,B08B,9/11/2010,12:00 AM,TBS(H),2812,Hotspur-Emmer,2819,DenLions-Costa
1034,B08B,9/11/2010,12:00 AM,F1,2567,Torp-Chesney,3118,NoVal-Jaeger
1035,B08B,9/18/2010,12:00 AM,F1,2753,Iron-Diaz,2567,Torp-Chesney
1036,B08B,9/18/2010,12:00 AM,F1,2812,Hotspur-Emmer,2578,Torp-Nunnery
1037,B08B,9/18/2010,12:00 AM,F1,3118,NoVal-Jaeger,2643,Ars-Barros
1038,B08B,9/18/2010,12:00 AM,F1,2819,DenLions-Costa,2644,Ars-Magnusson
1039,B08B,9/25/2010,12:00 AM,F1,2643,Ars-Barros,2567,Torp-Chesney
