Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
100801,B08A,9/11/2010,12:00 AM,F1,2740,Ft.Lee-Payan,2702,Clark-Kcira
100802,B08A,9/11/2010,12:00 AM,F1,3144,Hob-Pellegrini,2752,Iron-RNeves
100803,B08A,9/11/2010,12:00 AM,F1,2760,WClass-daSilva,2849,Mar-LaFrance
100804,B08A,9/18/2010,12:00 AM,F1,2752,Iron-RNeves,2702,Clark-Kcira
100805,B08A,9/18/2010,12:00 AM,TBS(H),2760,WClass-daSilva,2740,Ft.Lee-Payan
100806,B08A,9/18/2010,12:00 AM,F1,3144,Hob-Pellegrini,2849,Mar-LaFrance
100807,B08A,9/25/2010,12:00 AM,F1,2760,WClass-daSilva,2702,Clark-Kcira
100808,B08A,9/25/2010,12:00 AM,F1,2849,Mar-LaFrance,2752,Iron-RNeves
100809,B08A,9/25/2010,12:00 AM,F1,2740,Ft.Lee-Payan,3144,Hob-Pellegrini
100810,B08A,10/2/2010,12:00 AM,F1,2849,Mar-LaFrance,2740,Ft.Lee-Payan
100811,B08A,10/2/2010,12:00 AM,F1,2752,Iron-RNeves,2760,WClass-daSilva
100812,B08A,10/2/2010,12:00 AM,F1,2702,Clark-Kcira,3144,Hob-Pellegrini
100813,B08A,10/16/2010,12:00 AM,F1,2752,Iron-RNeves,2740,Ft.Lee-Payan
100814,B08A,10/16/2010,12:00 AM,F1,3144,Hob-Pellegrini,2760,WClass-daSilva
100815,B08A,10/16/2010,12:00 AM,F1,2702,Clark-Kcira,2849,Mar-LaFrance
100816,B08A,10/23/2010,12:00 AM,F1,2702,Clark-Kcira,2740,Ft.Lee-Payan
100817,B08A,10/23/2010,12:00 AM,F1,2849,Mar-LaFrance,2760,WClass-daSilva
100818,B08A,10/23/2010,12:00 AM,F1,2752,Iron-RNeves,3144,Hob-Pellegrini
100819,B08A,10/30/2010,12:00 AM,F1,2702,Clark-Kcira,2752,Iron-RNeves
100820,B08A,10/30/2010,12:00 AM,F1,2740,Ft.Lee-Payan,2760,WClass-daSilva
100821,B08A,10/30/2010,12:00 AM,F1,2849,Mar-LaFrance,3144,Hob-Pellegrini
100822,B08A,11/6/2010,12:00 AM,F1,3144,Hob-Pellegrini,2740,Ft.Lee-Payan
100823,B08A,11/6/2010,12:00 AM,F1,2702,Clark-Kcira,2760,WClass-daSilva
100824,B08A,11/6/2010,12:00 AM,F1,2752,Iron-RNeves,2849,Mar-LaFrance
100825,B08A,11/13/2010,12:00 AM,F1,3144,Hob-Pellegrini,2702,Clark-Kcira
