Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
5000,B08A,3/28/2010,12:00 AM,F1,1947,Hot,1811,Iron
5001,B08A,3/28/2010,12:00 AM,F1,2028,Lodi,1899,Mar
5002,B08A,3/28/2010,12:00 AM,F1,2390,Quick,1645,NoVal
5003,B08A,4/11/2010,12:00 AM,F1,2390,Quick,1947,Hot
5004,B08A,4/11/2010,12:00 AM,F1,1899,Mar,1811,Iron
5005,B08A,4/11/2010,12:00 AM,F1,2028,Lodi,1645,NoVal
5006,B08A,4/18/2010,12:00 AM,F1,2390,Quick,1811,Iron
5007,B08A,4/18/2010,12:00 AM,F1,1947,Hot,2028,Lodi
5008,B08A,4/18/2010,12:00 AM,F1,1645,NoVal,1899,Mar
5009,B08A,4/25/2010,12:00 AM,F1,1645,NoVal,1947,Hot
5010,B08A,4/25/2010,12:00 AM,F1,1811,Iron,2028,Lodi
5011,B08A,4/25/2010,12:00 AM,F1,1899,Mar,2390,Quick
5012,B08A,5/2/2010,12:00 AM,F1,1899,Mar,1947,Hot
5013,B08A,5/2/2010,12:00 AM,F1,1811,Iron,1645,NoVal
5014,B08A,5/2/2010,12:00 AM,F1,2028,Lodi,2390,Quick
5015,B08A,5/9/2010,12:00 AM,F1,1811,Iron,1947,Hot
5016,B08A,5/9/2010,12:00 AM,F1,1899,Mar,2028,Lodi
5017,B08A,5/9/2010,12:00 AM,F1,1645,NoVal,2390,Quick
5018,B08A,5/16/2010,12:00 AM,F1,1645,NoVal,2028,Lodi
5019,B08A,5/16/2010,12:00 AM,F1,1811,Iron,1899,Mar
5020,B08A,5/16/2010,12:00 AM,F1,1947,Hot,2390,Quick
5021,B08A,5/23/2010,12:00 AM,F1,2028,Lodi,1947,Hot
5022,B08A,5/23/2010,12:00 AM,F1,1899,Mar,1645,NoVal
5023,B08A,5/23/2010,12:00 AM,F1,1811,Iron,2390,Quick
5024,B08A,6/6/2010,12:00 AM,F1,2028,Lodi,1811,Iron
5025,B08A,6/6/2010,12:00 AM,F1,2390,Quick,1899,Mar
5026,B08A,6/6/2010,12:00 AM,F1,1947,Hot,1645,NoVal
5027,B08A,6/13/2010,12:00 AM,F1,1645,NoVal,1811,Iron
5028,B08A,6/13/2010,12:00 AM,F1,2390,Quick,2028,Lodi
5029,B08A,6/13/2010,12:00 AM,F1,1947,Hot,1899,Mar
5030,B08BB,3/28/2010,12:00 AM,F1,1690,Amer,1691,Amer
5031,B08BB,3/28/2010,12:00 AM,F1,1780,Torp,1979,RV
5032,B08BB,3/28/2010,12:00 AM,F1,1831,SS,1832,SS
5033,B08BB,4/11/2010,12:00 AM,F1,1780,Torp,1690,Amer
5034,B08BB,4/11/2010,12:00 AM,F1,1832,SS,1691,Amer
5035,B08BB,4/11/2010,12:00 AM,F1,1831,SS,1979,RV
5036,B08BB,4/18/2010,12:00 AM,F1,1780,Torp,1691,Amer
5037,B08BB,4/18/2010,12:00 AM,F1,1690,Amer,1831,SS
5038,B08BB,4/18/2010,12:00 AM,F1,1979,RV,1832,SS
5039,B08BB,4/25/2010,12:00 AM,F1,1979,RV,1690,Amer
5040,B08BB,4/25/2010,12:00 AM,F1,1691,Amer,1831,SS
5041,B08BB,4/25/2010,12:00 AM,F1,1832,SS,1780,Torp
5042,B08BB,5/2/2010,12:00 AM,F1,1832,SS,1690,Amer
5043,B08BB,5/2/2010,12:00 AM,F1,1691,Amer,1979,RV
5044,B08BB,5/2/2010,12:00 AM,F1,1831,SS,1780,Torp
5045,B08BB,5/9/2010,12:00 AM,F1,1691,Amer,1690,Amer
5046,B08BB,5/9/2010,12:00 AM,F1,1832,SS,1831,SS
5047,B08BB,5/9/2010,12:00 AM,F1,1979,RV,1780,Torp
