Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
1000,B08A,3/29/2009,12:00,F1,563,WneSC-Adamchak,485,GlenRk-Smith
1001,B08A,3/29/2009,12:00,F1,711,Clark-Stahl,586,Ars-DeCaprio
1002,B08A,3/29/2009,12:00,F1,600,FtLee-Holzapfel,484,GlenRk-Corry
1003,B08A,4/5/2009,12:00,F1,600,FtLee-Holzapfel,485,GlenRk-Smith
1004,B08A,4/5/2009,12:00,F1,563,WneSC-Adamchak,711,Clark-Stahl
1005,B08A,4/5/2009,12:00,F1,484,GlenRk-Corry,586,Ars-DeCaprio
1006,B08A,4/19/2009,12:00,F1,711,Clark-Stahl,600,FtLee-Holzapfel
1007,B08A,4/19/2009,12:00,F1,563,WneSC-Adamchak,586,Ars-DeCaprio
1008,B08A,4/19/2009,12:00,F1,485,GlenRk-Smith,484,GlenRk-Corry
1009,B08A,4/26/2009,12:00,F1,484,GlenRk-Corry,563,WneSC-Adamchak
1010,B08A,4/26/2009,12:00,F1,586,Ars-DeCaprio,600,FtLee-Holzapfel
1011,B08A,4/26/2009,12:00,F1,485,GlenRk-Smith,711,Clark-Stahl
1012,B08A,5/3/2009,12:00,F1,586,Ars-DeCaprio,485,GlenRk-Smith
1013,B08A,5/3/2009,12:00,F1,484,GlenRk-Corry,711,Clark-Stahl
1014,B08A,5/3/2009,12:00,F1,600,FtLee-Holzapfel,563,WneSC-Adamchak
1015,B08A,5/10/2009,12:00,F1,485,GlenRk-Smith,563,WneSC-Adamchak
1016,B08A,5/10/2009,12:00,F1,586,Ars-DeCaprio,711,Clark-Stahl
1017,B08A,5/10/2009,12:00,F1,484,GlenRk-Corry,600,FtLee-Holzapfel
1018,B08A,5/17/2009,12:00,F1,485,GlenRk-Smith,600,FtLee-Holzapfel
1019,B08A,5/17/2009,12:00,F1,711,Clark-Stahl,563,WneSC-Adamchak
1020,B08A,5/17/2009,12:00,F1,586,Ars-DeCaprio,484,GlenRk-Corry
1021,B08A,5/31/2009,12:00,F1,600,FtLee-Holzapfel,711,Clark-Stahl
1022,B08A,5/31/2009,12:00,F1,586,Ars-DeCaprio,563,WneSC-Adamchak
1023,B08A,5/31/2009,12:00,F1,484,GlenRk-Corry,485,GlenRk-Smith
1024,B08A,6/7/2009,12:00,F1,563,WneSC-Adamchak,484,GlenRk-Corry
1025,B08A,6/7/2009,12:00,F1,600,FtLee-Holzapfel,586,Ars-DeCaprio
1026,B08A,6/7/2009,12:00,F1,711,Clark-Stahl,485,GlenRk-Smith
1027,B08A,6/14/2009,12:00,F1,485,GlenRk-Smith,586,Ars-DeCaprio
1028,B08A,6/14/2009,12:00,F1,711,Clark-Stahl,484,GlenRk-Corry
1029,B08A,6/14/2009,12:00,F1,563,WneSC-Adamchak,600,FtLee-Holzapfel
1030,B08B,3/29/2009,12:00,F1,40,Torp-Hildebrandt,264,WneSC-Moran
1031,B08B,3/29/2009,12:00,F1,428,NoVal-Gwon,203,Hot-Saalfrank
1032,B08B,3/29/2009,12:00,F1,13,Irnbnd-Rosamilia,152,NoRock-Maffei
1033,B08B,3/29/2009,12:00,F1,701,Mar-Ruhl,402,Amer-Breen
1034,B08B,3/29/2009,12:00,F1,62,This-Salisbury,403,Amer-Mongelli
1035,B08B,4/5/2009,12:00,F1,701,Mar-Ruhl,62,This-Salisbury
1036,B08B,4/5/2009,12:00,F1,264,WneSC-Moran,203,Hot-Saalfrank
1037,B08B,4/5/2009,12:00,F1,40,Torp-Hildebrandt,13,Irnbnd-Rosamilia
1038,B08B,4/5/2009,12:00,F1,402,Amer-Breen,403,Amer-Mongelli
1039,B08B,4/5/2009,12:00,F1,152,NoRock-Maffei,428,NoVal-Gwon
1040,B08B,4/19/2009,12:00,F1,13,Irnbnd-Rosamilia,402,Amer-Breen
1041,B08B,4/19/2009,12:00,F1,62,This-Salisbury,40,Torp-Hildebrandt
1042,B08B,4/19/2009,12:00,F1,152,NoRock-Maffei,403,Amer-Mongelli
1043,B08B,4/19/2009,12:00,F1,701,Mar-Ruhl,203,Hot-Saalfrank
1044,B08B,4/19/2009,12:00,F1,428,NoVal-Gwon,264,WneSC-Moran
1045,B08B,4/26/2009,12:00,F1,428,NoVal-Gwon,40,Torp-Hildebrandt
1046,B08B,4/26/2009,12:00,F1,403,Amer-Mongelli,701,Mar-Ruhl
1047,B08B,4/26/2009,12:00,F1,264,WneSC-Moran,152,NoRock-Maffei
1048,B08B,4/26/2009,12:00,F1,203,Hot-Saalfrank,13,Irnbnd-Rosamilia
1049,B08B,4/26/2009,12:00,F1,402,Amer-Breen,62,This-Salisbury
1050,B08B,5/3/2009,12:00,F1,701,Mar-Ruhl,40,Torp-Hildebrandt
1051,B08B,5/3/2009,12:00,F1,428,NoVal-Gwon,402,Amer-Breen
1052,B08B,5/3/2009,12:00,F1,203,Hot-Saalfrank,403,Amer-Mongelli
1053,B08B,5/3/2009,12:00,F1,152,NoRock-Maffei,62,This-Salisbury
1054,B08B,5/3/2009,12:00,F1,13,Irnbnd-Rosamilia,264,WneSC-Moran
1055,B08B,5/10/2009,12:00,F1,403,Amer-Mongelli,40,Torp-Hildebrandt
1056,B08B,5/10/2009,12:00,F1,203,Hot-Saalfrank,62,This-Salisbury
1057,B08B,5/10/2009,12:00,F1,402,Amer-Breen,264,WneSC-Moran
1058,B08B,5/10/2009,12:00,F1,13,Irnbnd-Rosamilia,428,NoVal-Gwon
1059,B08B,5/10/2009,12:00,F1,701,Mar-Ruhl,152,NoRock-Maffei
1060,B08B,5/17/2009,12:00,F1,403,Amer-Mongelli,13,Irnbnd-Rosamilia
1061,B08B,5/17/2009,12:00,F1,40,Torp-Hildebrandt,152,NoRock-Maffei
1062,B08B,5/17/2009,12:00,F1,264,WneSC-Moran,701,Mar-Ruhl
1063,B08B,5/17/2009,12:00,F1,203,Hot-Saalfrank,402,Amer-Breen
