Num,Div,Date,Time,Field,Visitor,TeamV,Home,TeamH
1000,B08A,3/29/2009,12:00 PM,F1,563,WayneSC-Adamchak-BU08A,485,GlenRock-SMITH-BU08A
1001,B08A,3/29/2009,12:00 PM,F1,711,Clarkstown-Stahl-BU08A,586,Arsenal-DiCaprio-BU08A
1002,B08A,3/29/2009,12:00 PM,F1,600,FtLee-Holzapfel-BU08P,484,GlenRock-CORRY-BU08A
1003,B08A,4/5/2009,12:00 PM,F1,600,FtLee-Holzapfel-BU08P,485,GlenRock-SMITH-BU08A
1004,B08A,4/5/2009,12:00 PM,F1,563,WayneSC-Adamchak-BU08A,711,Clarkstown-Stahl-BU08A
1005,B08A,4/5/2009,12:00 PM,F1,484,GlenRock-CORRY-BU08A,586,Arsenal-DiCaprio-BU08A
1006,B08A,4/19/2009,12:00 PM,F1,711,Clarkstown-Stahl-BU08A,600,FtLee-Holzapfel-BU08P
1007,B08A,4/19/2009,12:00 PM,F1,563,WayneSC-Adamchak-BU08A,586,Arsenal-DiCaprio-BU08A
1008,B08A,4/19/2009,12:00 PM,F1,485,GlenRock-SMITH-BU08A,484,GlenRock-CORRY-BU08A
1009,B08A,4/26/2009,12:00 PM,TBS(V),484,GlenRock-CORRY-BU08A,563,WayneSC-Adamchak-BU08A
1010,B08A,4/26/2009,12:00 PM,F1,586,Arsenal-DiCaprio-BU08A,600,FtLee-Holzapfel-BU08P
1011,B08A,4/26/2009,12:00 PM,F1,485,GlenRock-SMITH-BU08A,711,Clarkstown-Stahl-BU08A
1012,B08A,5/3/2009,12:00 PM,F1,586,Arsenal-DiCaprio-BU08A,485,GlenRock-SMITH-BU08A
1013,B08A,5/3/2009,12:00 PM,F1,484,GlenRock-CORRY-BU08A,711,Clarkstown-Stahl-BU08A
1014,B08A,5/3/2009,12:00 PM,F1,600,FtLee-Holzapfel-BU08P,563,WayneSC-Adamchak-BU08A
1015,B08A,5/10/2009,12:00 PM,F1,485,GlenRock-SMITH-BU08A,563,WayneSC-Adamchak-BU08A
1016,B08A,5/10/2009,12:00 PM,F1,586,Arsenal-DiCaprio-BU08A,711,Clarkstown-Stahl-BU08A
1017,B08A,5/10/2009,12:00 PM,F1,484,GlenRock-CORRY-BU08A,600,FtLee-Holzapfel-BU08P
1018,B08A,5/17/2009,12:00 PM,F1,485,GlenRock-SMITH-BU08A,600,FtLee-Holzapfel-BU08P
1019,B08A,5/17/2009,12:00 PM,F1,711,Clarkstown-Stahl-BU08A,563,WayneSC-Adamchak-BU08A
1020,B08A,5/17/2009,12:00 PM,F1,586,Arsenal-DiCaprio-BU08A,484,GlenRock-CORRY-BU08A
1021,B08A,5/31/2009,12:00 PM,F1,600,FtLee-Holzapfel-BU08P,711,Clarkstown-Stahl-BU08A
1022,B08A,5/31/2009,12:00 PM,F1,586,Arsenal-DiCaprio-BU08A,563,WayneSC-Adamchak-BU08A
1023,B08A,5/31/2009,12:00 PM,F1,484,GlenRock-CORRY-BU08A,485,GlenRock-SMITH-BU08A
1024,B08A,6/7/2009,12:00 PM,F1,563,WayneSC-Adamchak-BU08A,484,GlenRock-CORRY-BU08A
1025,B08A,6/7/2009,12:00 PM,F1,600,FtLee-Holzapfel-BU08P,586,Arsenal-DiCaprio-BU08A
1026,B08A,6/7/2009,12:00 PM,F1,711,Clarkstown-Stahl-BU08A,485,GlenRock-SMITH-BU08A
1027,B08A,6/14/2009,12:00 PM,F1,485,GlenRock-SMITH-BU08A,586,Arsenal-DiCaprio-BU08A
1028,B08A,6/14/2009,12:00 PM,F1,711,Clarkstown-Stahl-BU08A,484,GlenRock-CORRY-BU08A
1029,B08A,6/14/2009,12:00 PM,F1,563,WayneSC-Adamchak-BU08A,600,FtLee-Holzapfel-BU08P
1030,B08B,3/29/2009,12:00 PM,F1,40,Torpedoes-Hildebrandt-BU08B,264,WayneSC-Moran-BU08B
1031,B08B,3/29/2009,12:00 PM,F1,428,NoValley-Gwon-BU08B,203,Hotspur-Saalfrank-BU08B
1032,B08B,3/29/2009,12:00 PM,F1,13,Ironbound-Rosamilia-BU08B,152,NoRockland-Maffei-BU08B
1033,B08B,3/29/2009,12:00 PM,F1,701,Maroons-Ruhl-BU08B,402,Americans-Breen-BU08B
1034,B08B,3/29/2009,12:00 PM,F1,62,Thistle-Salisbury-BU08C,403,Americans-Mongelli-BU08B
1035,B08B,4/5/2009,12:00 PM,F1,701,Maroons-Ruhl-BU08B,62,Thistle-Salisbury-BU08C
1036,B08B,4/5/2009,12:00 PM,F1,264,WayneSC-Moran-BU08B,203,Hotspur-Saalfrank-BU08B
1037,B08B,4/5/2009,12:00 PM,F1,40,Torpedoes-Hildebrandt-BU08B,13,Ironbound-Rosamilia-BU08B
1038,B08B,4/5/2009,12:00 PM,F1,402,Americans-Breen-BU08B,403,Americans-Mongelli-BU08B
1039,B08B,4/5/2009,12:00 PM,F1,152,NoRockland-Maffei-BU08B,428,NoValley-Gwon-BU08B
1040,B08B,4/19/2009,12:00 PM,F1,13,Ironbound-Rosamilia-BU08B,402,Americans-Breen-BU08B
1041,B08B,4/19/2009,12:00 PM,F1,62,Thistle-Salisbury-BU08C,40,Torpedoes-Hildebrandt-BU08B
1042,B08B,4/19/2009,12:00 PM,F1,152,NoRockland-Maffei-BU08B,403,Americans-Mongelli-BU08B
1043,B08B,4/19/2009,12:00 PM,F1,701,Maroons-Ruhl-BU08B,203,Hotspur-Saalfrank-BU08B
1044,B08B,4/19/2009,12:00 PM,TBS(V),428,NoValley-Gwon-BU08B,264,WayneSC-Moran-BU08B
1045,B08B,4/26/2009,12:00 PM,F1,428,NoValley-Gwon-BU08B,40,Torpedoes-Hildebrandt-BU08B
1046,B08B,4/26/2009,12:00 PM,TBS(B),403,Americans-Mongelli-BU08B,701,Maroons-Ruhl-BU08B
1047,B08B,4/26/2009,12:00 PM,F1,264,WayneSC-Moran-BU08B,152,NoRockland-Maffei-BU08B
1048,B08B,4/26/2009,12:00 PM,F1,203,Hotspur-Saalfrank-BU08B,13,Ironbound-Rosamilia-BU08B
1049,B08B,4/26/2009,12:00 PM,TBS(V),402,Americans-Breen-BU08B,62,Thistle-Salisbury-BU08C
1050,B08B,5/3/2009,12:00 PM,F1,701,Maroons-Ruhl-BU08B,40,Torpedoes-Hildebrandt-BU08B
1051,B08B,5/3/2009,12:00 PM,F1,428,NoValley-Gwon-BU08B,402,Americans-Breen-BU08B
1052,B08B,5/3/2009,12:00 PM,F1,203,Hotspur-Saalfrank-BU08B,403,Americans-Mongelli-BU08B
1053,B08B,5/3/2009,12:00 PM,F1,152,NoRockland-Maffei-BU08B,62,Thistle-Salisbury-BU08C
1054,B08B,5/3/2009,12:00 PM,F1,13,Ironbound-Rosamilia-BU08B,264,WayneSC-Moran-BU08B
1055,B08B,5/10/2009,12:00 PM,F1,403,Americans-Mongelli-BU08B,40,Torpedoes-Hildebrandt-BU08B
1056,B08B,5/10/2009,12:00 PM,TBS(H),203,Hotspur-Saalfrank-BU08B,62,Thistle-Salisbury-BU08C
1057,B08B,5/10/2009,12:00 PM,F1,402,Americans-Breen-BU08B,264,WayneSC-Moran-BU08B
1058,B08B,5/10/2009,12:00 PM,F1,13,Ironbound-Rosamilia-BU08B,428,NoValley-Gwon-BU08B
1059,B08B,5/10/2009,12:00 PM,F1,701,Maroons-Ruhl-BU08B,152,NoRockland-Maffei-BU08B
1060,B08B,5/17/2009,12:00 PM,F1,403,Americans-Mongelli-BU08B,13,Ironbound-Rosamilia-BU08B
1061,B08B,5/17/2009,12:00 PM,F1,40,Torpedoes-Hildebrandt-BU08B,152,NoRockland-Maffei-BU08B
1062,B08B,5/17/2009,12:00 PM,F1,264,WayneSC-Moran-BU08B,701,Maroons-Ruhl-BU08B
1063,B08B,5/17/2009,12:00 PM,F1,203,Hotspur-Saalfrank-BU08B,402,Americans-Breen-BU08B
1064,B08B,5/17/2009,12:00 PM,F1,62,Thistle-Salisbury-BU08C,428,NoValley-Gwon-BU08B
1065,B08B,5/31/2009,12:00 PM,F1,62,Thistle-Salisbury-BU08C,13,Ironbound-Rosamilia-BU08B
1066,B08B,5/31/2009,12:00 PM,F1,428,NoValley-Gwon-BU08B,701,Maroons-Ruhl-BU08B
1067,B08B,5/31/2009,12:00 PM,F1,402,Americans-Breen-BU08B,152,NoRockland-Maffei-BU08B
1068,B08B,5/31/2009,12:00 PM,F1,264,WayneSC-Moran-BU08B,403,Americans-Mongelli-BU08B
1069,B08B,5/31/2009,12:00 PM,F1,40,Torpedoes-Hildebrandt-BU08B,203,Hotspur-Saalfrank-BU08B
